Archer Farms Cinnamon Sticks 5 oz,0.50tsp,10,0g,2g,0g
Archer Farms Vanilla Flavored Sugar Blend 5.7 oz,0.5tsp,10,0g,3g,0g
Archer Farms Cocoa Flavored Sugar Blend 5.3 oz,0.5tsp,10,0g,2g,0g
Market Pantry Light Brown Sugar 2 lbs,1tsp,15,0g,4g,0g
Truvia Calorie-Free Sweetener 80 ct,1packet,0,0g,3g,0g
Skinny Girl Organic Stevia Sweetener 1.40 oz 40 ct,1packet,0,0g,<1g,0g
Hungry Jack Pancake Syrup 27.6 oz.,0.25cup,210,0g,53g,0g
Market Pantry Butter Flavored Pancake Syrup 24 oz,0.25cup,210,0g,53g,0g
Market Pantry Strawberry Syrup 22 oz,2tbsp,100,0g,26g,0g
Market Pantry Corn Syrup 32 oz,2tbsp,130,0g,31g,0g
Karo Dark Corn Syrup 16 oz,2tbsp,120,0g,31g,0g
Archer Farms™ Sugar Free Caramel Coffee Syrup 12.7oz,2tbsp,0,0g,0g,0g
Archer Farms™ Sugar Free French Vanilla Coffee Syrup 12.7oz,2tbsp,0,0g,0g,0g
Archer Farms French Vanilla Coffee Syrup 12.7oz,2tbsp,80,0g,19g,0g
"French's Yellow Mustard 20 oz",1tsp,0,0g,0g,0g
"French's Honey Dijon Mustard 12 oz",1tsp,10,0g,1g,0g
Wish-Bone Thousand Island Salad Dressing 16 oz,2tbsp,130,12g,5g,0g
Western French Dressing 16 oz,2tbsp,160,12g,12g,0g
Jif Reduced Fat Creamy Peanut Butter 16 oz,2tbsp,190,12g,15g,7g
Coffee-Mate Italian Sweet Creme Creamer 32 oz,1tbsp,35,1.5g,5g,0g
Coffee-Mate Hazelnut Coffee Creamer 32 oz,1tbsp,15,1g,2g,0g
Coffee-Mate Original Fat Free Creamer 32 oz,1tbsp,10,0g,2g,0g
International Delight French Vanilla Creamer 32 oz,1tbsp,35,1.5g,6g,0g
Coffee-Mate Sugar Free Italian Sweet Creme Creamer 32 oz,1tbsp,15,1g,1g,0g
International Delight Hazelnut Crème Creamer 32 oz,1tbsp,35,1.5g,6g,0g
International Delight Caramel Macchiato Coffee Creamer 32 oz,1tbsp,35,1.5g,6g,0g
Coffee-Mate Caramel Macchiato Creamer 32 oz,1tbsp,35,1.5g,5g,0g
Coffee-Mate Hazelnut Creamer 64 oz,1tbsp,35,1.5g,5g,0g
Coffee-Mate Girl Scout Thin Mints Creamer 16 oz,1tbsp,35,1.5g,5g,0g
Coffee-Mate Girl Scout Caramel and Coconut Creamer 16 oz,1tbsp,35,1.5g,5g,0g
"Land O' Lakes Mini Moo's Half & Half 24ct",1creamer,10,1g,0g,0g
International Delight® Caramel Macchiato Creamer 24 ct,1creamer,30,1.5g,5g,0g
International Delight Hazelnut Creamer 24 ct,1creamer,40,2g,5g,0g
International Delight White Chocolate Mocha Creamer 1 pt,1tbsp,40,1.5g,7g,0g
International Delight French Vanilla Creamer 1.5 qt,1tbsp,35,1.5g,6g,0g
"Dunkin' Donuts Vanilla Coffee Creamer 32 oz",1tbsp,35,1.5g,6g,0g
